"id_song"	"title"	"id_artist"	"artist"
12676	the top	12484	cure
193518	the 13th	12484	cure
193525	return	12484	cure
12670	give me it	12484	cure
193517	this is a lie	12484	cure
215586	daftendirekt	55934	daft punk
372672	veridis quo	55934	daft punk
659972	make love	55934	daft punk
509267	crescendolls (laidback luke remix)	55934	daft punk
509246	harder better faster stronger (the neptunes remix)	55934	daft punk
372674	face to face	55934	daft punk
215591	fresh	55934	daft punk
509266	face to face (demon remix)	55934	daft punk
74253	within you	10157	david bowie
113326	without you	10157	david bowie
58104	port of amsterdam	10157	david bowie
58080	black country rock	10157	david bowie
149932	day in day out	10157	david bowie
638305	d.j.	10157	david bowie
446655	god knows i'm good	10157	david bowie
58100	shapes of things	10157	david bowie
358399	in love with love (saw remix)	20560	deborah harry
358388	french kissin' in the usa	20560	deborah harry
358387	i want that man	20560	deborah harry
358392	i can see clearly	20560	deborah harry
358389	brite side	20560	deborah harry
18182	lady double dealer	10282	deep purple
711923	girls like that	10282	deep purple
18180	holy man	10282	deep purple
608206	painted horse (studio out-take)	10282	deep purple
616486	speed king	10282	deep purple
90733	lay down stay down	10282	deep purple
711934	before time began	10282	deep purple
90741	you keep on movin'	10282	deep purple
69190	i go to pieces	21452	del shannon
69189	callin' out my name	21452	del shannon
69195	let's dance	21452	del shannon
69192	i got you	21452	del shannon
69194	when i had you	21452	del shannon
64656	keep searchin'	21452	del shannon
69191	lost in a memory	21452	del shannon
69186	walk away	21452	del shannon
398942	when the body speaks	9840	depeche mode
300919	nothing to fear	9840	depeche mode
413725	pleasure little treasure (glitter mix)	9840	depeche mode
293015	never let me down again (aggro mix)	9840	depeche mode
1022603	fragile tension	9840	depeche mode
1022565	in chains	9840	depeche mode
74618	ice machine	9840	depeche mode
379573	just can't get enough	9840	depeche mode
390317	layla	39665	derek and the dominos
384023	do you know where you're going to	11981	diana ross
122076	stop in the name of love	11981	diana ross
122065	touch me in the morning	11981	diana ross
122066	i'm still waiting	11981	diana ross
122075	where did our love go	11981	diana ross
122070	you keep me hangin' on	11981	diana ross
756176	my mistake (was to love you)	11981	diana ross
122072	reflections	11981	diana ross
109424	it makes no difference	25496	dionne warwick
8954	two ships passing in the night	25496	dionne warwick
109431	you are my love	25496	dionne warwick
9056	deja vu	25496	dionne warwick
9052	heartbreaker	25496	dionne warwick
9054	i'll never love this way again	25496	dionne warwick
963787	show me the way	25496	dionne warwick
963825	rise shine and give god the glory	25496	dionne warwick
59968	iko iko	31164	dixie cups
291118	chapel of love	31164	dixie cups
747547	where do the children play	31419	dolly parton
1071650	old flames can't hold a candle to you	31419	dolly parton
1071649	applejack	31419	dolly parton
242694	i will always love you	31419	dolly parton
690320	baby i'm burnin'	31419	dolly parton
747565	both sides now	31419	dolly parton
1071637	coat of many colors	31419	dolly parton
747549	crimson and clover	31419	dolly parton
3633	kansas city	31477	domino fats
82136	blueberry hill	31477	domino fats
3643	blue monday	31477	domino fats
3639	ain't that a shame	31477	domino fats
3635	heart break hill	31477	domino fats
3641	let the four winds blow	31477	domino fats
3645	so long	31477	domino fats
3631	blueberry hill	31477	domino fats
7683	this time i know it's for real	20251	donna summer
1015421	try me i know we can make it	20251	donna summer
236362	winter melody	20251	donna summer
518107	love to love you baby	20251	donna summer
1015423	i feel love	20251	donna summer
1015514	carry on	20251	donna summer
7677	on the radio	20251	donna summer
7676	love's unkind	20251	donna summer
68891	tell all the people	12175	doors
389508	five to one	12175	doors
7994	indian summer	12175	doors
212874	love street	12175	doors
18048	break on through	12175	doors
68892	touch me	12175	doors
7991	land ho!	12175	doors
