"id"	"tag"
95	symphonic
96	acoustic
96	symphonic
96	trailer
96	acoustic
96	ascending
96	atmosphere
96	delicate
96	growing
96	intense
96	melodic
96	symphonic
97	rhythm and blues
97	rock & roll
97	singer-songwriter
97	hopeful
97	love
97	melodic
97	positive
97	romantic
97	vintage
98	orchestral pop
98	singer-songwriter
98	acoustic
98	atmosphere
98	gentle
98	hypnotic
98	soft
98	suggestive
98	sweet
98	tension
99	rock pop
99	singer-songwriter
99	determined
99	groove
99	growing
99	insistent
99	melancholic
99	rhythmic
99	travel
100	singer-songwriter
100	bizarre
100	crazy
100	despair
100	grotesque
100	rhythmic
100	surreal
100	weird
101	minimalist
101	singer-songwriter
101	bizarre
101	insane
101	melancholic
101	minimal
101	repetitive
101	suggestive
101	weird
102	acoustic
102	ambient
102	trailer
102	acoustic
102	aerial
102	atmosphere
102	crystalline
102	magical
102	mysterious
102	serene
102	soft
103	rock blues
103	traditional blues
103	blue
103	despair
103	intense
103	passionate
103	repetitive
103	rhythmic
104	rock & roll
104	soul
104	bizarre
104	crazy
104	grotesque
104	obsessive
104	repetitive
104	rhythmic
104	suggestive
105	country rock
105	rock pop
105	singer-songwriter
105	catchy
105	countryside
105	lazy
105	melancholic
105	travel
106	country rock
106	folk contemporaneo
106	rock pop
106	bizarre
106	countryside
106	hopeful
106	optimistic
106	playful
106	remembrance
106	vintage
107	disco 70
107	ballroom
107	glamour
107	movement
107	night
107	rhythmic
108	disco 70
108	ballroom
108	carefree
108	catchy
108	movement
108	rhythmic
108	vintage
109	disco 70
109	ballroom
109	fast
109	movement
109	night
109	rhythmic
109	vintage
110	disco 70
110	ballroom
110	city
110	movement
110	night
110	rhythmic
110	vintage
111	disco 70
111	singer-songwriter
111	city
111	glamour
111	light
111	movement
111	night
111	rhythmic
112	disco 70
112	slow
112	love
112	melodic
112	rhythmic
112	romantic
112	soft
113	disco 70
113	fast
113	movement
113	night
113	rhythmic
113	vintage
114	dance pop
114	disco 70
114	singer-songwriter
114	carefree
114	glamour
114	light
114	night
114	vintage
115	rock pop
115	atmosphere
115	city
115	fast
115	growing
115	night
115	rhythmic
115	space
115	travel
116	rock pop
116	catchy
116	energy
116	growing
116	powerful
116	rhythmic
117	rock pop
117	growing
117	melancholic
117	rhythmic
117	soft
117	space
118	rock pop
118	singer-songwriter
118	catchy
118	despair
118	love
118	rhythmic
118	romantic
118	soft
119	rock pop
119	energy
119	growing
119	powerful
119	rhythmic
119	space
120	hard rock
120	rock pop
120	adrenaline
120	chaotic
120	fast
120	movement
120	rhythmic
121	rock pop
121	singer-songwriter
121	slow
121	confident
121	emotional
121	exciting
121	intimate
121	love
121	melodic
121	romantic
121	soft
121	success
122	rock pop
122	slow
122	intense
122	melancholic
122	rhythmic
122	soft
122	space
123	disco 80
123	electronic
123	fast
123	movement
123	repetitive
123	rhythmic
123	vintage
124	psychedelic
124	punk
124	agitated
124	fast
124	hypnotic
124	psychic
124	rhythmic
125	new wave
125	punk
125	rock pop
125	boring
125	lazy
125	repetitive
125	rhythmic
125	vintage
126	electronic
126	fast
126	psychic
126	repetitive
126	rhythmic
126	technology
126	vintage
127	rock pop
127	agitated
127	energy
127	fast
127	rhythmic
127	travel
128	new wave
128	rock pop
128	anxiety
128	energy
128	obsessive
128	relentless
128	strong
129	hard rock
129	aggressive
129	angry
129	chaotic
129	energy
129	fast
129	powerful
130	dance pop
130	electronic
130	anxiety
130	insistent
130	repetitive
130	surreal
130	trance
131	rock blues
131	singer-songwriter
131	despair
131	melancholic
131	rhythmic
131	romantic
131	soft
132	psychedelic
132	rock pop
132	singer-songwriter
132	energy
132	psychic
132	repetitive
132	rhythmic
132	vintage
133	rock pop
133	slow
133	joyful
133	mellow
133	melodic
133	remembrance
133	rhythmic
133	suggestive
134	rock pop
134	singer-songwriter
134	carefree
134	catchy
134	energy
134	fast
134	hippy
134	movement
134	rhythmic
134	travel
135	rock pop
135	singer-songwriter
135	carefree
135	catchy
135	energy
135	repetitive
135	rhythmic
136	rock pop
136	slow
136	intimate
136	mellow
136	melodic
136	rhythmic
136	soft
137	rock pop
137	singer-songwriter
137	catchy
137	melancholic
137	melodic
137	rhythmic
137	vintage
138	rock pop
138	catchy
138	insistent
138	melancholic
138	remembrance
138	rhythmic
138	romantic
139	rhythm and blues
139	rock & roll
139	singer-songwriter
139	acoustic
139	catchy
139	confident
139	exciting
139	hypnotic
139	impact
139	melancholic
139	mellow
139	remembrance
139	rhythmic
139	romantic
139	suggestive
139	touching
140	big band
140	crooners
140	romantic
140	singer-songwriter
140	emotional
140	love
140	melodic
140	romantic
140	soft
140	tender
141	rock & roll
141	ballroom
141	fast
141	love
141	movement
141	rhythmic
142	electronic
142	funk rock
142	singer-songwriter
142	soul
142	atmosphere
142	confident
142	flowing
142	repetitive
142	rhythmic
142	sexy
143	slow
143	soft pop
143	catchy
143	love
143	romantic
143	soft
143	vintage
144	rock pop
144	singer-songwriter
144	beat
144	boring
144	groove
144	movement
144	pulsing
144	repetitive
144	rhythmic
144	sexy
145	soft pop
145	love
145	melodic
145	romantic
145	soft
145	sweet
146	dance pop
146	disco 80
146	singer-songwriter
146	agitated
146	energy
146	fast
146	repetitive
146	rhythmic
147	dance pop
147	singer-songwriter
147	beat
147	city
147	glamour
147	night
147	repetitive
147	rhythmic
148	dance pop
148	rock pop
148	city
148	glamour
148	rhythmic
148	space
148	travel
149	dance pop
149	singer-songwriter
149	adrenaline
149	beat
149	glamour
149	movement
149	repetitive
149	rhythmic
150	dance pop
150	adrenaline
150	agitated
150	frantic
150	insistent
150	obsessive
150	repetitive
151	country rock
151	rock & roll
151	rock blues
151	singer-songwriter
151	bright
151	carefree
151	catchy
151	countryside
151	energy
151	holiday
151	rhythmic
151	travel
152	country rock
152	rock & roll
152	rock blues
152	singer-songwriter
152	catchy
152	countryside
152	fast
152	holiday
152	rhythmic
152	travel
153	country rock
153	folk contemporaneo
153	countryside
153	exciting
153	rhythmic
153	soft
153	travel
154	country rock
154	funk rock
154	rhythm and blues
154	rock & roll
154	rock blues
154	singer-songwriter
154	countryside
154	exciting
154	groove
154	powerful
154	rhythmic
154	travel
155	folk contemporaneo
155	rock blues
155	countryside
155	repetitive
155	rhythmic
155	suggestive
155	travel
156	country rock
156	folk contemporaneo
156	catchy
156	countryside
156	energy
156	enthusiastic
156	groove
156	movement
156	rhythmic
156	travel
157	folk contemporaneo
157	rock blues
157	energy
157	fast
157	groove
157	movement
157	rhythmic
158	country rock
158	folk contemporaneo
158	singer-songwriter
158	carefree
158	catchy
158	countryside
158	holiday
158	hopeful
158	rhythmic
158	travel
159	country rock
159	countryside
159	rhythmic
159	romantic
159	soft
159	travel
160	reggae
160	singer-songwriter
160	bizarre
160	glamour
160	innocent
160	light
160	magical
161	country rock
161	folk contemporaneo
161	singer-songwriter
161	acoustic
161	countryside
161	hopeful
161	melancholic
161	minimal
161	soft
161	suggestive
162	folk contemporaneo
162	acoustic
162	countryside
162	desolation
162	lonely
162	melancholic
162	minimal
162	solitary
163	rock blues
163	catchy
163	countryside
163	floating
163	mellow
163	rhythmic
163	travel
164	country rock
164	folk contemporaneo
164	singer-songwriter
164	desolation
164	intimate
164	melancholic
164	minimal
164	repetitive
164	solitary
165	singer-songwriter
165	traditional blues
165	acoustic
165	lonely
165	melancholic
165	repetitive
165	soulful
166	hip-hop
166	r&b
166	rap
166	beat
166	insistent
166	repetitive
166	static
166	weird
167	dance pop
167	hip-hop
167	rap
167	agitated
167	beat
167	frantic
167	insistent
167	movement
168	hip-hop
168	rap
168	singer-songwriter
168	aggressive
168	beat
168	chaotic
168	club
168	confused
168	repetitive
168	violence
169	hip-hop
169	rap
169	agitated
169	beat
169	dirty
169	repetitive
169	rhythmic
170	electronic
170	hip-hop
170	rap
170	angry
170	beat
170	city
170	club
170	dirty
170	repetitive
171	hip-hop
171	rap
171	beat
171	crowd
171	drugs
171	night
171	repetitive
171	rhythmic
171	technology
172	rap
172	aggressive
172	angry
172	beat
172	club
172	rhythmic
172	violence
173	hip-hop
173	rap
173	agitated
173	angry
173	beat
173	club
173	repetitive
174	rhythm and blues
174	rock & roll
174	singer-songwriter
174	soul
174	ballroom
174	movement
174	powerful
174	rhythmic
174	vintage
175	big band
175	rhythm and blues
175	romantic
175	singer-songwriter
175	slow
175	swing
175	confident
175	delicate
175	emotional
175	gentle
175	love
175	melancholic
175	melodic
175	romantic
175	soft
176	big band
176	romantic
176	singer-songwriter
176	slow
176	acoustic
176	calm
176	gentle
176	intense
176	intimate
176	love
176	melancholic
176	mellow
176	melodic
176	passionate
176	romantic
176	soft
176	solitary
176	soulful
176	suggestive
176	sweet
176	tender
177	cajun
177	singer-songwriter
177	bizarre
177	grotesque
177	lazy
177	soft
177	suggestive
178	rock blues
178	bizarre
178	crazy
178	grotesque
178	repetitive
178	strong
178	surreal
179	big band
179	swing
179	breezy
179	bright
179	catchy
179	chic
179	confident
179	gentle
179	hopeful
179	love
179	melodic
179	romantic
179	soft
179	space
179	tender
180	funk
180	reggae
180	singer-songwriter
180	carefree
180	catchy
180	fast
180	playful
180	rhythmic
180	vintage
181	electronic
181	funk
181	hip-hop
181	beat
181	crowd
181	dark
181	night
181	repetitive
181	static
182	electronic
182	house
182	new wave
182	adrenaline
182	beat
182	city
182	fast
182	night
182	rhythmic
182	technology
182	vintage
183	electronic
183	hip-hop
183	anxiety
183	beat
183	chase
183	city
183	club
183	dark
183	night
183	psychic
183	repetitive
183	speed
184	dance pop
184	hip-hop
184	r&b
184	beat
184	hopeful
184	melodic
184	rhythmic
184	vintage
185	funk
185	r&b
185	mellow
185	movement
185	remembrance
185	rhythmic
185	vintage
186	rock pop
186	singer-songwriter
186	groove
186	melancholic
186	psychic
186	repetitive
186	rhythmic
186	vintage
187	psychedelic
187	agitated
187	hypnotic
187	psychic
187	repetitive
187	rhythmic
188	rock pop
188	boring
188	psychic
188	repetitive
188	rhythmic
188	weird
189	rhythm and blues
189	rock & roll
189	romantic
189	despair
189	intense
189	melancholic
189	melodic
189	rhythmic
189	soft
189	soulful
189	suggestive
190	rock '60
190	rock pop
190	singer-songwriter
190	fast
190	holiday
190	optimistic
190	rhythmic
190	vintage
191	rock blues
191	soul
191	despair
191	intense
191	love
191	rhythmic
191	romantic
191	soft
192	folk contemporaneo
192	psychedelic
192	rock pop
192	singer-songwriter
192	melancholic
192	psychic
192	rhythmic
192	vintage
192	weird
193	folk contemporaneo
193	rock pop
193	acoustic
193	bizarre
193	carefree
193	hippy
193	holiday
193	travel
194	rhythm and blues
194	soul
194	catchy
194	despair
194	movement
194	rhythmic
194	vintage
195	folk contemporaneo
195	rock pop
195	singer-songwriter
195	catchy
195	melancholic
195	melodic
195	rhythmic
195	romantic
195	soft
195	vintage
196	rock pop
196	surf rock
196	carefree
196	fast
196	hippy
196	holiday
196	rhythmic
196	summertime
197	folk contemporaneo
197	rock pop
197	carefree
197	countryside
197	hippy
197	hopeful
197	remembrance
197	travel
197	vintage
198	folk contemporaneo
198	punk
198	rock pop
198	singer-songwriter
198	fast
198	holiday
198	movement
198	remembrance
198	rhythmic
198	vintage
199	garage
199	hard rock
199	singer-songwriter
199	aggressive
199	chaotic
199	confused
199	noise
199	repetitive
199	rhythmic
199	strong
200	hard rock
200	aggressive
200	agitated
200	chaotic
200	confused
200	fast
200	frantic
200	noise
